speaker1,speaker2,1,2,3,4,5,6,7,8,9
Erin,Esther,0,0,0,0,0,0,0,0,4
Erin,Gabe,0,0,0,0,0,16,113,33,0
Erin,Grotti,0,0,0,0,0,4,0,0,0
Erin,Harry,0,0,0,0,0,0,0,5,0
Erin,Helene,0,0,0,0,0,8,0,0,0
Erin,Holly,0,0,0,0,0,0,88,0,0
Erin,Host,0,0,0,0,0,0,0,13,0
Erin,Irene,0,0,0,0,0,0,0,47,0
Erin,Jessica,0,0,0,0,0,0,0,77,0
Erin,Jim,0,0,0,0,5,180,128,180,75
Erin,Jo,0,0,0,0,0,7,8,0,0
Erin,Kelly,0,0,0,0,8,61,63,36,0
Erin,Kevin,0,0,0,0,4,92,77,158,108
Erin,Meredith,0,0,0,0,2,22,27,40,95
Erin,Michael,0,0,0,0,91,485,391,0,0
Erin,Nate,0,0,0,0,0,0,6,0,0
Erin,Nellie,0,0,0,0,0,0,0,46,113
Erin,Oscar,0,0,0,0,13,54,84,107,70
Erin,Pam,0,0,0,0,32,165,187,96,158
Erin,Pete,0,0,0,0,0,0,0,0,266
Erin,Phyllis,0,0,0,0,8,43,81,54,79
Erin,Robert California,0,0,0,0,0,0,0,115,0
Erin,Ryan,0,0,0,0,0,41,53,84,0
Erin,Senator Lipton,0,0,0,0,0,0,0,16,0
Erin,Stanley,0,0,0,0,6,28,33,43,47
Erin,Susan,0,0,0,0,0,0,0,18,0
Erin,Toby,0,0,0,0,5,12,35,16,13
Erin,Todd Packer,0,0,0,0,0,0,0,12,0
Erin,Val,0,0,0,0,0,0,0,9,0
Erin,Walter,0,0,0,0,0,0,0,16,0
Esther,Jim,0,0,0,0,0,0,0,0,6
Esther,Nellie,0,0,0,0,0,0,0,0,14
Esther,Oscar,0,0,0,0,0,0,0,0,6
Gabe,Holly,0,0,0,0,0,0,19,0,0
Gabe,Jim,0,0,0,0,0,39,119,77,0
Gabe,Jo,0,0,0,0,0,47,46,0,0
Gabe,Kelly,0,0,0,0,0,22,41,15,0
Gabe,Kevin,0,0,0,0,0,32,85,18,0
Gabe,Meredith,0,0,0,0,0,12,48,6,0
Gabe,Michael,0,0,0,0,0,85,204,0,0
Gabe,Nellie,0,0,0,0,0,0,0,38,0
Gabe,Oscar,0,0,0,0,0,14,55,30,0
Gabe,Pam,0,0,0,0,0,34,119,28,0
Gabe,Phyllis,0,0,0,0,0,2,50,16,0
Gabe,Robert California,0,0,0,0,0,0,0,54,0
Gabe,Ryan,0,0,0,0,0,4,25,21,0
Gabe,Stanley,0,0,0,0,0,10,11,5,0
Gabe,Toby,0,0,0,0,0,6,55,44,0
Gabe,Todd Packer,0,0,0,0,0,0,8,12,0
Gabe,Val,0,0,0,0,0,0,0,18,0
Gabe,Walter,0,0,0,0,0,0,0,16,0
Grotti,Michael,0,0,0,0,0,80,0,0,0
Harry,Jim,0,0,0,0,0,0,0,31,0
Harry,Robert California,0,0,0,0,0,0,0,14,0
Harry,Toby,0,0,0,0,0,0,0,10,0
Helene,Isabel,0,0,0,0,0,5,0,0,0
Helene,Jim,0,0,0,0,0,48,0,0,0
Helene,Kelly,0,0,0,0,0,4,0,0,0
Helene,Kevin,0,0,0,0,0,4,0,0,0
Helene,Michael,0,0,0,0,0,110,0,0,0
Helene,Pam,0,0,0,0,0,86,0,0,0
Helene,Ryan,0,0,0,0,0,4,0,0,0
Holly,Jan,0,0,0,0,16,0,0,0,0
Holly,Jim,0,0,0,0,57,0,84,0,0
Holly,Kelly,0,0,0,0,22,0,40,0,0
Holly,Kevin,0,0,0,50,39,0,89,0,0
Holly,Meredith,0,0,0,3,46,0,9,0,0
Holly,Michael,0,0,0,127,435,0,462,0,0
Holly,Oscar,0,0,0,0,47,0,25,0,0
Holly,Pam,0,0,0,19,5,0,77,0,0
Holly,Phyllis,0,0,0,0,21,0,33,0,0
Holly,Ryan,0,0,0,0,28,0,20,0,0
Holly,Stanley,0,0,0,0,21,0,11,0,0
Holly,Toby,0,0,0,35,0,0,7,0,0
Holly,Todd Packer,0,0,0,0,0,0,18,0,0
Host,Jim,0,0,0,0,0,0,0,13,0
Host,Kelly,0,0,0,0,0,0,0,11,0
Host,Kevin,0,0,0,0,0,0,0,23,0
Host,Meredith,0,0,0,0,0,0,0,22,0
Host,Oscar,0,0,0,0,0,0,0,15,0
Host,Phyllis,0,0,0,0,0,0,0,6,0
Host,Ryan,0,0,0,0,0,0,0,15,0
Host,Stanley,0,0,0,0,0,0,0,7,0
Irene,Jim,0,0,0,0,0,0,0,9,0
Isabel,Michael,0,0,0,0,0,22,0,0,0
Isabel,Pam,0,0,0,0,0,13,0,0,0
Jada,Jim,0,0,0,0,0,0,6,0,0
Jada,Kelly,0,0,0,0,0,0,3,0,0
Jada,Kevin,0,0,0,0,0,0,3,0,0
Jada,Meredith,0,0,0,0,0,0,4,0,0
Jada,Michael,0,0,0,0,0,0,26,0,0
Jada,Oscar,0,0,0,0,0,0,4,0,0
Jada,Pam,0,0,0,0,0,0,11,0,0
Jada,Phyllis,0,0,0,0,0,0,4,0,0
Jada,Toby,0,0,0,0,0,0,3,0,0
Jan,Jim,0,25,31,79,5,0,0,0,0
Jan,Josh,0,0,32,0,0,0,0,0,0
Jan,Karen,0,0,17,0,0,0,0,0,0
Jan,Kelly,0,26,0,0,9,0,0,0,0
Jan,Kevin,0,5,18,8,12,0,0,0,0
Jan,Lester,0,0,0,17,0,0,0,0,0
Jan,Meredith,0,18,0,0,0,0,0,0,0
